1 BAHRAİN 2020/03/25|18:55 50 50
2 KYİV 2020/04/03|03:06 50 50
3 ANKARA 2020/03/25|20:38 50 50
4 KYİV 2020/03/26|20:38 50 50
5 SOFİA 2020/03/24|18:29 50 50
6 KYİV 2020/03/27|21:32 50 50
7 KYİV 2020/03/24|18:45 50 50
8 ANKARA 2020/03/24|18:18 50 50
9 BAHRAİN 2020/03/24|19:32 50 50
10 ANKARA 2020/03/31|00:04 50 50
11 ANKARA 2020/03/27|22:10 50 50
12 ANKARA 2020/03/27|20:52 50 50
13 KYİV 2020/04/04|05:02 50 50
14 BAHRAİN 2020/04/02|02:52 50 50
15 ANKARA 2020/03/22|16:33 50 50
16 ANKARA 2020/03/22|17:52 50 50
17 BAHRAİN 2020/03/23|18:46 50 50
18 BAHRAİN 2020/04/02|03:24 50 50
19 KYİV 2020/03/26|21:35 50 50
20 KYİV 2020/03/21|16:45 50 50
21 ANKARA 2020/04/05|04:41 50 50
22 ANKARA 2020/03/23|18:20 50 50
23 SOFİA 2020/03/22|16:49 50 50
24 KYİV 2020/03/29|23:04 50 50
25 BAHRAİN 2020/03/28|22:29 50 50
26 SOFİA 2020/03/22|15:50 50 50
27 KYİV 2020/03/30|00:33 50 50
28 KYİV 2020/03/31|01:40 50 50
29 ANKARA 2020/03/27|22:28 50 50
30 ANKARA 2020/03/31|00:36 50 50
31 SOFİA 2020/03/22|15:39 50 50
32 SOFİA 2020/04/05|06:20 50 50
33 ANKARA 2020/03/25|20:08 50 50
34 BAHRAİN 2020/04/04|04:30 50 50
35 ANKARA 2020/03/26|20:41 50 50
36 ANKARA 2020/03/26|20:04 50 50
37 KYİV 2020/03/27|21:24 50 50
38 BAHRAİN 2020/03/24|20:00 50 50
39 SOFİA 2020/03/25|20:07 50 50
40 SOFİA 2020/03/27|22:29 50 50
41 ANKARA 2020/04/05|06:53 50 50
42 KYİV 2020/03/30|01:02 50 50
43 KYİV 2020/04/01|01:59 50 50
44 KYİV 2020/03/22|15:39 50 50
45 BAHRAİN 2020/03/30|01:03 50 50
46 KYİV 2020/04/05|06:50 50 50
47 KYİV 2020/03/25|19:24 50 48
48 SOFİA 2020/03/31|00:16 50 50
49 BAHRAİN 2020/04/01|01:34 50 50
50 SOFİA 2020/03/31|01:34 50 50
